ticket_id,created_at,customer_id,customer_segment,channel,product_area,issue_type,priority,status,sla_plan,initial_message,agent_first_reply,resolution_summary,resolution_time_hours,reopened,customer_sentiment,csat_score,has_attachment,platform,region
TCKT_000001,2024-01-31T05:14:27,CUST_00861,individual,email,data_export,account_access,low,resolved,standard,I cannot log in; the system says my password is incorrect.,Sorry to hear you're having trouble accessing your account. We will look into this and get back to you within the next 48 hours.,Reset account credentials and confirmed successful login.,36.53,0,very_negative,1,0,android,EU
TCKT_000002,2024-10-20T06:15:49,CUST_00770,individual,in_app,billing,security_concern,medium,closed_no_action,standard,I noticed a suspicious login on my account.,We take security very seriously. Our team is reviewing this and will follow up within 24 hours.,Ticket closed without further action after no response from the customer.,238.32,0,neutral,3,0,web,NA
TCKT_000003,2024-06-18T21:35:54,CUST_02559,small_business,chat,api_integration,bug,low,in_progress,standard,The api integration feature is not saving my changes.,Thanks for reporting this bug. We will look into this and get back to you within the next 48 hours.,,,0,neutral,3,0,android,MEA
TCKT_000004,2025-12-25T15:59:52,CUST_03557,education,chat,analytics_dashboard,account_access,medium,in_progress,standard,I cannot log in; the system says my password is incorrect.,Sorry to hear you're having trouble accessing your account. Our team is reviewing this and will follow up within 24 hours.,,,0,positive,5,1,android,LATAM
TCKT_000005,2023-08-27T16:08:33,CUST_09556,enterprise,phone_transcript,login_auth,billing_problem,low,resolved,gold,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. We will look into this and get back to you within the next 48 hours.,Adjusted the invoice and issued a refund where applicable.,61.32,0,very_negative,2,0,web,NA
TCKT_000006,2024-09-24T14:04:53,CUST_03844,education,email,mobile_app,performance,low,closed_no_action,gold,Queries in the mobile app module are timing out.,We understand performance issues can be frustrating. We will look into this and get back to you within the next 48 hours.,Ticket closed without further action after no response from the customer.,226.93,0,positive,5,0,ios,NA
TCKT_000007,2024-11-01T16:14:51,CUST_01017,education,in_app,billing,security_concern,urgent,resolved,gold,I noticed a suspicious login on my account.,We take security very seriously. This has been escalated to our on-call team for immediate attention.,"Investigated logs, mitigated the issue, and updated security settings.",4.36,0,negative,3,1,api_client,APAC
TCKT_000008,2024-11-07T06:43:26,CUST_00065,non_profit,phone_transcript,api_integration,billing_problem,low,resolved,standard,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. We will look into this and get back to you within the next 48 hours.,Adjusted the invoice and issued a refund where applicable.,26.78,0,very_negative,0,0,web,NA
TCKT_000009,2023-08-30T23:04:26,CUST_05893,small_business,phone_transcript,billing,billing_problem,high,resolved,platinum,I was charged twice for my subscription this month.,Thanks for reaching out about the billing issue. We are prioritizing this and will update you as soon as possible.,Adjusted the invoice and issued a refund where applicable.,20.55,0,negative,0,0,desktop_app,APAC
TCKT_000010,2023-04-26T19:33:56,CUST_02732,education,phone_transcript,login_auth,performance,medium,resolved,standard,Overall performance has degraded in the last few days.,We understand performance issues can be frustrating. Our team is reviewing this and will follow up within 24 hours.,Optimized queries and increased resource allocation.,9.26,0,neutral,4,0,android,APAC
TCKT_000011,2023-04-02T12:27:06,CUST_04489,individual,in_app,data_export,feature_request,medium,in_progress,standard,Our team needs more advanced options for data export.,Thanks for your feature suggestion. Our team is reviewing this and will follow up within 24 hours.,,,0,neutral,3,0,android,EU
TCKT_000012,2022-03-07T10:37:17,CUST_07575,education,web_form,mobile_app,billing_problem,medium,resolved,standard,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Adjusted the invoice and issued a refund where applicable.,45.49,0,negative,3,0,ios,NA
TCKT_000013,2023-02-22T18:04:40,CUST_02694,small_business,email,notifications,performance,medium,in_progress,standard,Overall performance has degraded in the last few days.,We understand performance issues can be frustrating. Our team is reviewing this and will follow up within 24 hours.,,,0,positive,4,0,ios,NA
TCKT_000014,2024-03-21T08:57:04,CUST_01307,small_business,in_app,data_export,performance,medium,resolved,gold,The data export page is very slow and takes a long time to load.,We understand performance issues can be frustrating. Our team is reviewing this and will follow up within 24 hours.,Optimized queries and increased resource allocation.,4.31,0,negative,2,0,desktop_app,LATAM
TCKT_000015,2025-06-15T10:10:31,CUST_01999,education,chat,mobile_app,feature_request,low,in_progress,standard,It would be great to have mobile app support in your product.,Thanks for your feature suggestion. We will look into this and get back to you within the next 48 hours.,,,0,neutral,0,1,api_client,MEA
TCKT_000016,2023-03-14T15:54:14,CUST_07555,enterprise,in_app,analytics_dashboard,security_concern,low,in_progress,standard,We need details about your data encryption and compliance.,We take security very seriously. We will look into this and get back to you within the next 48 hours.,,,1,neutral,4,0,android,EU
TCKT_000017,2023-04-10T20:35:12,CUST_05250,non_profit,web_form,billing,bug,medium,resolved,standard,The page keeps crashing whenever I try to open the billing section.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,Patched the bug and deployed a fix to production.,30.08,0,very_negative,1,0,android,EU
TCKT_000018,2022-12-30T04:11:31,CUST_07778,education,in_app,billing,security_concern,medium,resolved,standard,We need details about your data encryption and compliance.,We take security very seriously. Our team is reviewing this and will follow up within 24 hours.,"Investigated logs, mitigated the issue, and updated security settings.",40.75,1,negative,0,0,api_client,LATAM
TCKT_000019,2024-11-25T13:01:46,CUST_06547,non_profit,phone_transcript,api_integration,bug,medium,resolved,standard,The api integration feature is not saving my changes.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,Patched the bug and deployed a fix to production.,8.23,0,very_positive,5,0,web,MEA
